epoch,train_loss,train_acc,val_loss,val_acc
1,0.7279841899871826,0.4393063583815029,0.6855208277702332,0.6091954112052917
2,0.6697593403689434,0.5982658959537572,0.6751080751419067,0.5632184147834778
3,0.6503929492366107,0.630057803468208,0.6673682928085327,0.5517241358757019
4,0.6271743209375812,0.6820809248554913,0.6525723934173584,0.5517241358757019
5,0.6020449196672164,0.708092485549133,0.6433889865875244,0.5517241358757019
6,0.5788570787176232,0.7312138728323699,0.6474759578704834,0.5632184147834778
7,0.5657335202817972,0.7283236994219653,0.650235116481781,0.5747126340866089
8,0.5541193971055092,0.7369942196531792,0.6533641815185547,0.5977011322975159
9,0.5434972278644584,0.7543352601156069,0.6550089716911316,0.6206896305084229
10,0.5358644193307512,0.7601156069364162,0.6540380716323853,0.6321839094161987
11,0.5212343383386645,0.7514450867052023,0.6500883102416992,0.6321839094161987
12,0.512857581149636,0.7803468208092486,0.6545067429542542,0.6091954112052917
13,0.5120178192337125,0.7687861271676301,0.6543983817100525,0.6091954112052917
14,0.4954773620029405,0.7832369942196532,0.6383655667304993,0.6436781883239746
15,0.4805343900457283,0.791907514450867,0.6353281140327454,0.6436781883239746
16,0.45699739215001894,0.7947976878612717,0.629095196723938,0.6321839094161987
17,0.45796486184087104,0.8063583815028902,0.6245795488357544,0.6206896305084229
18,0.4322446894783505,0.8439306358381503,0.6249873638153076,0.6321839094161987
19,0.4362084386665697,0.815028901734104,0.6301088333129883,0.6436781883239746
20,0.4190982659428106,0.8265895953757225,0.6154585480690002,0.6436781883239746
21,0.4220417522626116,0.815028901734104,0.6036540865898132,0.6551724076271057
22,0.4127210681838107,0.8179190751445087,0.599597692489624,0.6666666865348816
23,0.4006339218575141,0.8323699421965318,0.6085224747657776,0.6666666865348816
24,0.3759952451107819,0.8439306358381503,0.6106119751930237,0.6666666865348816
25,0.37410128771225154,0.8352601156069365,0.6024237275123596,0.6781609058380127
26,0.3568149982504762,0.8439306358381503,0.5990513563156128,0.6666666865348816
27,0.3412873198875802,0.8728323699421965,0.589479386806488,0.6896551847457886
28,0.3410213882523465,0.8757225433526011,0.5877679586410522,0.6896551847457886
29,0.3306426621241377,0.869942196531792,0.5946011543273926,0.7011494040489197
30,0.33496829987950405,0.8641618497109826,0.5871731042861938,0.7126436829566956
31,0.32419664253389213,0.8352601156069365,0.5749844312667847,0.7126436829566956
32,0.30277719973139683,0.8641618497109826,0.5677084922790527,0.7471264600753784
33,0.29662132211503267,0.8728323699421965,0.5664027333259583,0.7356321811676025
34,0.2941438731430583,0.8757225433526011,0.5599181652069092,0.7586206793785095
35,0.27459783119962394,0.8901734104046243,0.5651294589042664,0.7471264600753784
36,0.2704239127608393,0.8988439306358381,0.5601858496665955,0.7701149582862854
37,0.24398080685924242,0.9017341040462428,0.5762673020362854,0.7586206793785095
38,0.26623139284938746,0.9075144508670521,0.5773628950119019,0.7586206793785095
39,0.29243309580521776,0.8901734104046243,0.5762645602226257,0.7701149582862854
40,0.2472010889666618,0.9190751445086706,0.5733538269996643,0.7701149582862854
41,0.23009832832165536,0.9161849710982659,0.5741366744041443,0.7586206793785095
42,0.2501502501309952,0.9046242774566474,0.5605477094650269,0.7816091775894165
43,0.23279729080682546,0.9046242774566474,0.5589731335639954,0.7701149582862854
44,0.2652928996292842,0.9017341040462428,0.5798825025558472,0.7586206793785095
45,0.21248031377447824,0.9161849710982659,0.5745389461517334,0.7701149582862854
46,0.2400959252105283,0.9161849710982659,0.5586497187614441,0.7816091775894165
47,0.2336173777635387,0.9161849710982659,0.5810660123825073,0.7816091775894165
48,0.20270100675221814,0.9248554913294798,0.5756873488426208,0.7931034564971924
49,0.23100782663835956,0.9104046242774566,0.5573118925094604,0.7931034564971924
50,0.21670181532471167,0.9132947976878613,0.5799480080604553,0.7816091775894165
